OBJECTID,name,description,pic_url,thumb_url,categoryID,artifactID,categoryName,lat,long,score,icon_color,Tab_Name
1,Relay,"GLASS, METAL, SYNTHETIC/ CARDBOARD BOX",http://source.techno-science.ca/artifacts-artefacts/images/1966.0008.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0008.001.aa.cs.thumb.png,1,8,Manufacturer,40.798569899999997,-74.239082799999991,76,R,The United States
2,Propeller,WOOD/ METAL LEADING EDGE & TIPS/ METAL HUB ASSEMBLY,http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0016.001.aa.cs.thumb.png,2,12,Manufacturer,42.963359900000000,-85.668086299999999,76,R,The United States
3,Propeller,WOODEN PROPELLER WITH METAL TRAILING EGDES AND TIPS/ BRASS MFR'S PLATE,http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0018.001.aa.cs.thumb.png,3,14,Manufacturer,37.090240000000001,-95.712890999999999,52,R,The United States
4,Propeller,WOOD/ METAL,http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0020.001.aa.cs.thumb.png,4,15,Manufacturer,49.899754100000003,-97.137493699999993,76,R,Canada
5,Propeller,WOOD,http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0022.001.aa.cs.thumb.png,5,16,Manufacturer,37.871592600000000,-122.272747000000000,76,R,The United States
6,Propeller,WOOD/ METAL HUB ASSEMBLY,http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0024.001.aa.cs.thumb.png,6,17,Manufacturer,39.290384799999998,-76.612189299999997,76,R,The United States
7,"Compass, solar",BRASS CONSTRUCTION; STERLING SILVER ARCS AND GRADUATIONS OF LIMB; GLASS TUBE LEVEL VIALS. WOODEN CASE FITTED WITH BRASS HINGES.,http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0029.001.aa.cs.thumb.png,7,19,Manufacturer,42.728411700000002,-73.691785099999990,76,R,The United States
8,"Engine, automobile",CAST IRON/ STEEL/ ASSORTED METALS,http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0031.001.aa.cs.thumb.png,8,20,Manufacturer,43.897092899999997,-78.865791199999990,76,R,Canada
9,"Amplifier, microwave",METAL/ SYNTHETIC POWER CORDS & KNOBS/ WOOD CASE WITH FELT LINING,http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0032.001.aa.cs.thumb.png,9,21,Manufacturer,52.355517700000000,-1.174319700000000,52,R,Europe
10,Clock,"BRASS CASING/ METAL HANDS, WORKS, FACE (?)/ GLASS CRYSTAL",http://source.techno-science.ca/artifacts-artefacts/images/1966.0033.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0033.001.aa.cs.thumb.png,10,22,Manufacturer,51.507350899999999,-0.127758300000000,76,R,Europe
11,Clock works,METAL (TIN?) CLOCK FACE AND HANDS/ METAL WORKS,http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1966.0034.001.aa.cs.thumb.png,11,23,Manufacturer,40.712783700000003,-74.005941300000003,76,R,The United States
